# Version 1.0
# - Intial design point for exponential PDF
# - Number of points per dimension: 10
# - Random Seed: 20210421
# Parameter AlphaS Q0 C1 C2 Tau0 C3
# - Parameter AlphaS: Linear [0.1, 0.5]
# - Parameter Q0: Linear [1, 10]
# - Parameter C1: Log [0.006737946999085467, 10]
# - Parameter C2: Log [0.006737946999085467, 10]
# - Parameter Tau0: Linear [0.0, 1.5]
# - Parameter C3: Log [0.049787068367863944, 100]
2.068062997402060899e-01 9.676105454201680445e+00 3.186547083076729070e+00 9.001122152450058422e+00 2.364245367500705797e-02 3.579149837246598764e+01
3.205478111165095401e-01 9.059920231714936989e+00 3.559890196498605164e-02 5.903738674278493637e-01 1.346249384287016460e+00 1.921386179796399640e-01
2.931190668989668846e-01 9.781335580823776965e+00 6.778264514992241807e+00 4.011096143809432524e-02 1.291725558433227672e+00 7.423928352328786062e-02
1.019696318498494736e-01 6.338552153568816294e+00 1.144249760737315186e-01 2.556648009810294497e-02 3.615573890250152189e-01 3.040138300857468945e+00
2.784614876522542026e-01 8.126254082037441151e+00 1.382696653190642333e-01 6.862338881636784182e-02 2.102941385396127072e-01 2.412288453995792281e+00
4.841644237923617977e-01 4.644632267697823558e+00 1.164919245542600512e-02 8.827918628564467296e-01 1.166274336678774004e+00 3.823666524448763315e-01
2.358795975976859804e-01 3.484753298928852328e+00 4.863242165345352142e+00 8.033419855716802394e-01 1.038635796735172701e+00 1.142116151388434631e+01
1.213712484146370341e-01 9.203332795307513692e+00 5.426326403277981214e-01 2.706428745388550272e+00 2.515568276470471210e-01 5.999727043906012192e+00
1.541425761210627188e-01 6.980998437379120958e+00 9.130817382582469000e-01 1.129831967636893940e-02 1.187812566219258237e+00 7.443915687115626234e+00
1.507667531202591116e-01 6.495443703096886345e+00 1.982340071021278793e-01 1.799014184475269840e+00 1.320160090430821054e+00 1.551455970958289243e-01
2.518308918709185606e-01 1.264168230556473649e+00 6.567133163176352983e-02 4.397292620984644351e+00 1.461480996939923838e+00 1.825824761764525572e+00
1.442926950236075589e-01 1.774010745243185916e+00 5.250947458776097365e-01 1.632703745889284644e-02 1.226298914438856746e+00 1.490748711014331995e+01
4.302020142216610443e-01 6.769233621162968007e+00 1.698924360412416013e-01 5.851289920585249493e-02 3.196569549846008385e-01 6.836682340422113313e-01
3.602796748228775936e-01 4.451399742974064822e+00 1.034353028228125748e-01 1.320957502975178832e-01 1.005034094553399315e+00 6.952645557784033203e-02
3.197899251839625423e-01 3.887001829678243148e+00 2.955398845887950363e-02 3.603588682028564111e-02 1.256465520872200869e+00 9.383338200819240082e-01
4.053247612776972320e-01 3.058969257266950681e+00 6.333101970406692649e-01 2.030970278839448057e-02 1.429117658835807214e+00 4.604813101344269199e+01
4.619521469113397893e-01 2.198771492702404906e+00 3.903724498041693386e-02 7.149893402310468840e-03 6.332553766217874358e-01 2.972021197262389691e+01
2.665331355290589954e-01 2.664876714938082092e+00 9.812607808634290704e-03 1.791295858654221029e-02 5.439187876422157952e-01 1.208505479368471525e+00
3.840125439309087785e-01 5.860224147379192949e+00 4.851931323619233100e-02 7.744560475540281097e-02 8.129846464875984946e-01 3.710603298848279774e+00
3.772161510547150653e-01 6.670010645304874863e+00 3.153135148010172140e-01 1.248736003285843443e+00 4.551220318537677612e-01 2.345507218570661934e+01
4.249871545295302866e-01 6.130605345194334532e+00 1.529538521764169448e-02 3.841468057263131453e+00 2.969457519538010182e-01 5.212114079240816045e-01
1.120784652539342507e-01 7.083262742395342038e+00 2.297833595290778019e-01 2.171154221278943364e-01 1.396989546373788249e+00 4.704706658764137850e-01
2.710431907155433917e-01 8.009960694404451687e+00 2.879297799389897786e-02 9.125834179226288700e-02 3.967644606261502283e-01 2.895664736394400474e-01
4.075206383091080076e-01 8.892397817539027471e+00 1.542547883318600377e+00 3.901191284598354847e-01 1.405969905284538468e+00 1.712767344874584197e+01
4.355884500399633819e-01 9.428203710192311959e+00 5.727655766098835421e+00 5.375464971697302197e+00 8.862809836045246747e-01 5.128367228040715275e+01
4.928538909355070219e-01 5.553307685302860897e+00 9.286890398150907111e-03 9.927821087507734399e-01 8.746247414035218659e-01 1.187133845949016475e+01
3.948307707456256699e-01 2.917568767672809926e+00 1.772800115969541013e+00 1.062887546414083700e-01 1.069300311907749768e+00 9.024326452866033854e-01
2.291477801589167640e-01 1.083133977119802527e+00 4.242781751688863567e-02 2.918681977247767345e-01 7.006791855306390149e-01 2.227065762241355329e-01
3.562138458862946777e-01 4.900784442031437038e+00 1.327647712233859245e+00 3.544776363788509355e-01 7.766301147815124484e-01 1.140708150228961076e-01
2.429293665979630201e-01 5.764148614004215077e+00 2.520556798802601681e-02 1.787930958858314767e-01 1.211598284420308369e+00 6.590301090987890120e+01
2.840862638832968301e-01 4.305296703241035416e+00 3.504029325754770774e+00 6.063614093563066132e-02 2.477305051465389929e-01 6.400989276915363568e+00
3.529538389182981240e-01 7.261860067409685371e+00 8.158558203210847237e-03 3.115715460812658044e+00 1.113467544948817611e+00 3.850812901099876484e+01
4.749379514122167301e-01 4.030372084024785195e+00 1.696683918159468119e-02 8.091623008089547042e+00 9.874453127008573361e-01 1.041325147603823914e-01
3.874766758420061796e-01 6.093711022017906487e+00 1.860976091088351936e+00 4.571148550599268140e-02 1.077636842498915781e+00 9.536051016327647289e+00
4.546498032657328991e-01 1.355191112695312672e+00 4.458018646904029936e+00 1.423263880850932139e+00 7.664195026181073178e-01 2.056867514729350699e+00
3.125794993347285056e-01 9.299039742450711188e+00 7.087755737388784505e-02 6.278104542664967314e-01 4.455525790150056120e-01 4.477174272364734975e+00
3.443054054177013823e-01 3.572333207549866607e+00 3.788974778397955046e+00 2.488766773635628371e-01 1.484510500187689042e+00 1.694367518408632645e+00
2.019060452615943912e-01 7.645840632323531949e+00 8.706060062715507974e-02 7.040407595317220713e-01 1.943902962731332007e-01 2.008296379243749996e+01
1.987729795931241217e-01 5.181497614274229946e+00 1.974023486646776099e-02 3.140536345079330549e-01 4.911191634752029578e-02 1.527018774662300871e+01
3.724091333090896461e-01 7.449450150644086222e+00 7.175634708022472275e+00 1.310205573750343119e-02 6.050941614781922828e-01 9.046982967537746390e-02
1.923100955912685484e-01 3.755246429576027278e+00 3.526663996102982201e-01 8.565714572902026480e-03 3.380832407798685102e-01 1.342522127157032286e-01
1.727928435575970534e-01 5.417291594643181440e+00 1.284123981081112566e-02 5.086499708574399037e-02 7.321784489521143691e-01 8.027471070533163555e+00
2.950149401344890898e-01 2.458310640730410501e+00 8.618017365318490774e-02 2.144479051730624697e+00 9.482136047584599492e-02 3.435911900535553731e-01
3.050336128583085449e-01 2.632929367069761106e+00 6.953980455780670381e-03 9.843103948695773597e-03 9.644398341470289404e-01 2.320109731425479827e-01
1.297369299818276200e-01 3.338956650128017678e+00 5.621111309530475025e-02 2.617934549502163102e-02 5.658645604387575467e-01 3.410797596199576454e+00
2.589466570192671124e-01 7.808728854726674662e+00 8.632077320976195844e-01 7.134050073521946089e+00 1.449478539903973351e-01 1.649453275559754073e-01
3.381899378477440932e-01 4.811893276127293895e+00 2.875852536501066203e-01 6.336275763175540199e+00 9.098992618165613333e-01 1.146809726710418254e+00
0.484889068725007 8.9946615153183 0.0351844433473452 9.91379789759798 0.305788205564872 4.9945014255911
0.199569153100736 3.01876148217094 7.89693962666463 0.0181241346903491 0.77466257629291 0.337873106126287
0.344891813261005 1.98969598600524 0.455967294307011 0.304790659763956 0.48288786148645 0.175719821389744
0.289592897254427 4.97063599329126 0.024518149830052 1.79207239406874 1.06744395402222 30.6264319869977
0.379892129712076 7.47225502024478 0.566884909214308 0.0105320552037389 0.102604178187216 0.619519978220102
0.245148077952182 2.80749283917388 1.04614922311867 2.07168847115113 1.33860959118196 0.258392138071723
0.396871104541288 9.51552558940245 0.497056434491436 0.0189862813902777 1.12352287020168 5.88990849892529
0.31907108333136 1.92888029018889 6.34632955538286 4.17029196551316 0.0193663917307505 0.698793673582149
0.251596138778757 2.65885000096167 0.026649795738146 0.0555074201694459 1.05036413076558 0.415190929471107
0.231849891125757 9.77129782524399 0.694603751985889 0.42308462072126 0.101075210631168 61.4801616823129
0.487232872630602 3.94264984865834 0.206928221256079 0.169358845549446 1.42610982690333 1.79241361873822
0.162540079466387 2.80315909105493 0.0322449304105953 3.96024754046937 0.42613070113678 3.15098123202963
0.361959914721431 8.86595750403381 4.23097406198399 0.709623311622153 1.21015755785797 0.0786326557524734
0.393220479668924 1.98525083289204 0.0284120950975463 0.0377967424284912 0.298764929719541 28.2469480461626
0.106004926003486 7.98610583911604 0.0913989289809816 0.750153376241685 0.664624374523247 0.525869503892436
0.470491134891664 5.15599079482282 3.78074720588988 0.343862364942381 0.509187457462468 7.46114556928591
0.264125316171383 6.54724139644918 0.0181485173115756 0.00924459152449233 0.369833344962687 0.0885839399409862
0.197081183063607 3.99908863242038 3.56693916809389 2.17753167005498 1.06031157847914 55.8802175044115
0.3847015437997 8.04726656670442 0.0143687317251298 3.76394077722505 1.0544529701386 0.321168509242856
0.167845129293269 4.72670114620547 0.0402019288581664 0.0129671034507105 0.80019955995917 69.6996480693698
0.345517084852815 9.79859014938623 0.0110448175142605 0.0462742796267642 0.008848863727541 30.9649222363387
0.278072697982355 3.25538919692861 2.70021105562083 2.25725217811173 1.21505343760678 0.163323755455115
0.200810426540426 7.78263453257967 0.0887724395814115 0.312987144351747 1.1765631558374 1.93748734615444
0.484166697530421 1.01305930526129 4.20243289399799 0.0198108852481229 0.213702836384502 6.43590035972268
0.304433434758976 4.00338766244404 0.0163836289230489 0.634622080550315 1.20745531521578 21.5347919511077
0.201553172395175 9.01695454037571 0.262010743706387 0.0298759820458305 0.469334031531486 0.0733961832117009
0.353947961925366 3.69942094954176 0.0570215439533768 2.79157199229097 0.206410524292013 11.9812624215891
0.474925223763603 7.92392530745256 5.6874210014724 0.150680552236918 1.14554010521699 1.21889846105052
0.139279686796404 3.47701200370318 0.0464138587109642 0.283723609839053 0.705745298278739 3.90944599973068
0.400286548977678 9.81972383597031 2.54996278595067 4.99801653099476 0.503653790466031 0.0839948097500594
0.303238508864735 3.70854491444769 2.66430630523181 0.0109566270349562 0.868879368279672 22.0001876195541
0.400529810586635 2.88123944707933 0.0102425065560272 1.10093622831481 1.37389187392039 0.602172465439441
0.232275842641993 9.01500246220538 1.14239523489259 3.34323357091514 1.06580116064112 20.4890261141568
0.289996716153769 5.1345368374975 0.113434987407485 0.00959041249938322 0.0408693508661813 9.93772324854433
0.358645702565759 8.1287424256806 0.0527493498776923 5.79558056674896 1.14068704335836 0.08771959258956
0.183582797394727 2.81053464200991 1.87759640580095 0.985998666998816 0.11233560641366 58.7948523191002
0.469402873954545 9.73793684044059 0.0388172139923403 0.0121759209570991 1.33507270455466 0.915042557585982
0.451689898603548 2.7639535931587 0.568958552173179 0.0314007550961517 0.369807878629056 0.122748800128106
0.128056599266841 9.56178400131559 0.020487095933057 2.52658712251141 0.39351298905873 8.7115448467856
0.154306710290818 1.22918527804319 1.80768145011493 0.00891189241446501 1.40251862348774 0.210278771340758
0.454093865249878 7.83709831261622 0.0275849637372057 4.52937635046037 0.34793006368606 19.2656377607147
0.248171276809551 9.7653425128717 4.05254025365324 0.0347599368121512 0.756566114351682 4.86489435609042
0.236476954353493 2.21276685812766 0.0128232244047125 5.32735426039745 0.480860983737498 0.136246655812289
0.427197870134018 2.88811388456711 0.0666052835816397 0.00829946824172166 1.0491674965157 12.6437414019387
0.149966384832979 6.07175739909084 4.93285899181422 0.760088831706004 0.813642281058023 0.782439592748113
0.416430716238103 3.33985975131074 0.0167323551634611 0.139789034366495 0.197795013463666 41.9850447559717
0.470959475995 3.49430554014426 9.78796127265762 9.38035630791966 0.938766971537346 4.525429293319
0.153931572190311 8.04098414724918 0.0224012153693214 0.0111208643377479 0.993821827897683 1.46026153835755
0.447941571555859 8.57741307719003 4.45569170810601 0.0399726208219183 0.18330691783646 0.309515102589712
0.141223953893283 1.41991567679751 0.0448078773675001 1.34886340386884 1.29989814235749 14.6392421329972
0.454751485625522 7.71450993262946 0.0920378443241378 0.496350011093918 0.540725054413461 0.271181692555565
0.272946938477896 5.71403571686701 0.680725534611176 3.4474336631721 0.752089050641869 36.260823727807
0.438128133792551 3.6766532109542 1.40164346434803 0.0300095284138478 1.21331137379823 0.193721929579226
0.143253068335744 6.05368967378381 0.0525350436323508 1.00713205227532 0.250365490774428 0.190406916535861
0.440770884354956 9.8983431033352 0.0568612848816174 3.06225402529068 1.23853370305419 13.4601735481771
0.176777979896632 1.46563759682996 0.34183693376438 0.0214065766727486 0.122731602031714 1.375996634528
0.253021013833864 8.22306971499032 6.89954335560215 1.53335693260205 1.45364844160453 0.513632788078157
0.495634482513743 3.14689200667711 0.259079387573806 0.135982277111602 0.119498347521873 5.56495384476708
0.120132327206263 8.33667703252158 0.132246255588721 0.012287021226192 1.45819434519835 88.7597585666591
0.406394890937033 2.65479318394461 0.330357502408525 3.52161265738615 0.86967448213391 0.0875372952070283
0.396322411205533 9.16896242468337 1.16472966187194 0.0174479900477444 0.520656688331658 55.1116992368932
0.120434524968529 4.59306162691001 0.0412789017070619 5.33808126341583 1.21106884244384 0.159923880145743
0.372093590803256 5.26125119875699 0.0145256596907293 0.0274106467975572 0.21745021927554 0.0739324396892665
0.347753150117157 3.83011018877086 7.43508414011179 0.443213767010222 1.11303644724124 39.6498550724759
0.34285370590473 9.41034002357263 0.0491705616365679 6.96200368633949 0.497921802915259 1.9511380517063
0.162690594162602 3.64220009947668 2.12476621627439 0.139518910909911 0.300777795242075 0.0833244250888813
0.355933316947549 7.88254116731563 0.00929770028043521 0.0308715889623215 1.06559432005228 40.960962715153
0.300656059028133 5.81998098123534 6.10618539839353 0.277556934976477 0.195990779544868 0.816810245721885
0.195770032464869 3.27160232411578 0.0125882169067265 0.286906873978965 0.358794263616949 75.8228388613199
0.29966359657704 7.16483420874129 1.75184374984316 0.0130677955319021 1.37198576956125 0.150791049567055
0.439731219394747 3.90386620754348 0.218818910730232 3.25279474401744 1.4295892339832 92.3203317898899
0.104791880988397 7.35742629096939 0.880902371092471 0.139736498448908 0.0990254822581912 4.66011821248993
0.446712618646995 1.41729118916954 0.00999792401320769 0.0609775287378267 0.87148538801761 1.28969786351799
0.122533267779439 5.15784529382856 2.33944646669805 6.91534272534804 1.19908838008691 5.86496863413559
0.489988391101232 9.95538888860742 0.0906204316434823 0.0979947005083893 0.150781102126567 0.265371262504688
0.149156175565212 1.02267588210813 1.37556092240985 0.0800625604660324 0.753382407416803 25.9536549596405
0.462279429391697 8.93058376947941 1.41249685871095 1.1935908394777 0.0987125617563132 12.1433200724093
0.233371118295175 5.08765634405311 0.0175264161766732 0.0408136030181981 1.23550150655367 0.138370518613422
0.348221542881268 3.68753173414994 3.00527620043707 5.28988222119569 0.0843187472685229 0.399551856432423
0.411266328122962 8.54490646696723 0.127993267010236 0.0263476609847728 0.985022506970241 11.9019268328619
